title,destination,duration,price,description,category,difficulty,groupSize,bestTime,availability,originalPrice,rating,reviews,images,itinerary,inclusions,exclusions
Golden Triangle (Delhi-Agra-Jaipur) - 12 days,Golden Triangle,12 days,111875,"Golden Triangle (Delhi-Agra-Jaipur) - 12 days: A curated 12 days package to Golden Triangle covering major highlights, comfortable stays and local experiences.",Cultural,Challenging,2-8 people,Spring,38,116743,3.8,423,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg",Day 1: Arrival at Golden Triangle; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Goa - 7 days,Goa,7 days,51136,"Goa - 7 days: A curated 7 days package to Goa covering major highlights, comfortable stays and local experiences.",Beach,Moderate,10-20 people,Summer,22,57968,4.1,952,"https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Goa; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Kerala (Backwaters & Munnar) - 10 days,Kerala,10 days,139617,"Kerala (Backwaters & Munnar) - 10 days: A curated 10 days package to Kerala covering major highlights, comfortable stays and local experiences.",Romantic,Moderate,2-8 people,Year-round,31,144393,3.6,1913,"https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Kerala; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Ladakh - 7 days,Ladakh,7 days,22872,"Ladakh - 7 days: A curated 7 days package to Ladakh covering major highlights, comfortable stays and local experiences.",Mountain,Easy,5-12 people,Winter,3,51713,4.7,1820,"https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Ladakh; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Andaman Islands - 7 days,Andaman Islands,7 days,83243,"Andaman Islands - 7 days: A curated 7 days package to Andaman Islands covering major highlights, comfortable stays and local experiences.",Beach,Moderate,1-4 people,Winter,35,85102,3.8,464,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Andaman Islands; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Rajasthan (Udaipur-Jodhpur-Jaisalmer) - 8 days,Rajasthan,8 days,56542,"Rajasthan (Udaipur-Jodhpur-Jaisalmer) - 8 days: A curated 8 days package to Rajasthan covering major highlights, comfortable stays and local experiences.",Romantic,Easy,10-20 people,Year-round,25,58419,4.5,1300,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg",Day 1: Arrival at Rajasthan; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
"Kashmir (Gulmarg, Pahalgam, Srinagar) - 9 days",Kashmir,9 days,127255,"Kashmir (Gulmarg, Pahalgam, Srinagar) - 9 days: A curated 9 days package to Kashmir covering major highlights, comfortable stays and local experiences.",Mountain,Easy,2-8 people,Year-round,25,147264,4.4,1923,"https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Kashmir; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Darjeeling & Gangtok - 9 days,Darjeeling & Gangtok,9 days,144531,"Darjeeling & Gangtok - 9 days: A curated 9 days package to Darjeeling & Gangtok covering major highlights, comfortable stays and local experiences.",Wildlife,Easy,10-20 people,Autumn,2,161382,4.2,1691,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Darjeeling & Gangtok; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Himachal (Manali & Solang Valley) - 6 days,Himachal,6 days,66353,"Himachal (Manali & Solang Valley) - 6 days: A curated 6 days package to Himachal covering major highlights, comfortable stays and local experiences.",Mountain,Challenging,2-8 people,Spring,3,73965,3.5,110,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Himachal; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Shimla & Kufri - 7 days,Shimla & Kufri,7 days,7241,"Shimla & Kufri - 7 days: A curated 7 days package to Shimla & Kufri covering major highlights, comfortable stays and local experiences.",Mountain,Easy,5-12 people,Spring,13,26160,4.3,144,"https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1501785888041-af3ef285b470",Day 1: Arrival at Shimla & Kufri; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
